Erreur	Correction	Fréquence	
"ah	ah	1 
venta«	vent	1 
attendoit	attendait	1 
s’écria	s’écria	1 
confu«	confus	1 
iij	ii	1 
pagnie	pagaie	1 
«	a	1 
atta«	tata	1 
chés	clés	1 
plaifir	plaisir	1 
«	a	1 
aufïïtôt	aufïïtôt	1 
defeendit	descendit	1 
paroître	paraître	1 
difciples	disciples	1 
fabre	faire	1 
inftruifoït	inftruifoït	1 
préfident	président	1 
ca-	car	1 
portoit	portait	1 
évita	évite	1 
xix	six	1 
afsez	assez	1 
«	a	2 
protec«	protect	1 
fouvent	souvent	1 
miniftres	ministres	1 
perfécuté	persécuté	1 
voluptueufes	voluptueuses	1 
plaifants	plaisants	1 
confidéroit	considérait	1 
difoit	doit	1 
pafsé	passé	1 
acc	arc	1 
ainfi	ainsi	1 
vez-vous	vez-vous	1 
rvati	avait	1 
l’avé«	l’avé	1 
«	a	2 
nir	ni	1 
(i)	il	1 
préparez-vous	préparez-vous	1 
dcfscins	dcfscins	1 
confacra	consacra	1 
difciples	disciples	1 
penfeigner	enseigner	1 
miniftres	ministres	1 
fentit	sentit	1 
eompofa	composa	1 
fatisfaireleurcuriofité	fatisfaireleurcuriofité	1 
inftruélion	inftruélion	1 
feslumieresil	feslumieresil	1 
fes	les	1 
excitoit	excitait	1 
(i)	il	1 
hilt	hit	1 
genér	gener	1 
perfuader	persuader	1 
xsj	sj	1 
acceffible	accessible	1 
fuperficiels	superficiels	1 
courtifans	courtisans	1 
pénétrants	pénétrant	1 
falloit	fallait	1 
rendît	rendit	1 
oififs	oisifs	1 
cmpire	empire	1 
propofoit	proposait	1 
fimplicité	simplicité	1 
empe-	tempe	1 
étoit	était	1 
pafsager	passager	1 
fiable,	fiable	1 
vouloit	voulait	1 
poilîble	poilîble	1 
s’il	sil	1 
rvati	avait	1 
xxij	xxie	1 
infmi	infos	1 
poffiblc	poffiblc	1 
fouvenit	souvent	1 
impreffion	impression	1 
doncquefadocfriué	doncquefadocfriué	1 
reurs	leurs	1 
étoit	était	1 
efptits	petits	1 
fes	les	1 
s’il	sil	1 
connoifsoit	connoifsoit	1 
fur-tout	surtout	1 
fouvent	souvent	1 
nécerfité	nécessité	1 
préfentant	présentant	1 
donnoit	donnait	1 
folide	folie	1 
connoifsance	connaissance	1 
faifant	faisant	1 
favoit	avoit	1 
fentir	sentir	1 
perfuader	persuader	1 
fes	les	1 
xxii)	xiii	1 
fouvenir	souvenir	1 
s’interdire	interdire	1 
ftyle	style	1 
nécefsaire	nécessaire	1 
facrifîcr	facrifîcr	1 
pourroit	pourrait	1 
précifion	précision	1 
fes	les	4 
négligea	négliger	1 
précicifion	précicifion	1 
difciples	disciples	1 
fes	les	1 
fophe	force	1 
xxv	xxx	1 
applaudifsements	applaudissements	1 
amufer	amuser	1 
difciples	disciples	1 
doftrine	doctrine	1 
apprisl’art	apprisl’art	1 
couragede	courage	1 
foixante	soixante	1 
fes	les	1 
infpiré	inspiré	1 
néceflité	nécessité	1 
doctrinede	doctrine	1 
cnfcignement	cnfcignement	1 
miniftres	ministres	1 
dynaftie	dynastie	1 
chao-hoangti	chao-hoangti	2 
dis-je	dise	1 
illupcres	illustres	1 
xxvij	xxie	1 
vifîter	visiter	1 
fuccefseurs	successeurs	1 
s’y	say	1 
rétablifsent	rétablissent	1 
doéleurs	douleurs	1 
fujets	sujets	1 
falle	fille	1 
inftituent	instituant	1 
hantchang-ti	hantchang-ti	1 
conftruire	construire	1 
fes	les	1 
inftituteurs	instituteurs	1 
gén	gin	1 
(o	to	1 
51s	pas	1 
i-lift	lift	1 
cij	ci	1 
invocc	invocc	1 
miao	ciao	1 
auffitôt	aussitôt	1 
re«	re	1 
«	a	2 
efprit	esprit	1 
l’ef(ij	l’ef(ij	1 
fiege	siege	1 
aujour«	aujourd	1 
ainfi	ainsi	1 
quentfe	quinte	1 
gén	gin	1 
j8ô	je	1 
hift	hit	1 
=»	de	1 
(i).	(i).	1 
«	a	1 
xxix	xxx	1 
imce	ice	1 
ainfi	ainsi	1 
foieries	soieries	1 
afsurent	assurent	1 
falles	filles	1 
confacrées	consacrées	1 
irréfragable	irréfragable	1 
(i)	il	1 
hift	hit	1 
dynaftic	dynastie	2 
facrés	sacrés	1 
pourfa	pourra	1 
miao	ciao	1 
afyles	ailes	1 
elt	et	1 
défordres	désordres	1 
efprit	esprit	1 
s’éteint	éteint	1 
repofe	repose	1 
fuccefseur	successeur	1 
fes	les	1 
difciple	disciple	1 
philofophe	philosophe	1 
reconuoître	reconnaître	1 
xxxj	xxx	1 
difciples	disciples	1 
lui-même	lui-même	1 
expofée	exposée	1 
lestsée-chu	lestsée-chu	1 
canoniques	canonique	1 
claflîques	claflîques	1 
fes	les	1 
fîx	fax	1 
tufie	tue	1 
memcius	mercis	1 
piétéfilialesel’école	piétéfilialesel’école	1 
canoniques	canonique	1 
perfonne	personne	1 
aujourd’hui	aujourdhui	1 
enfeigne	enseigne	1 
(i)	il	1 
not’lprocem	not’lprocem	1 
daffîques	daffîques	1 
aujourd’hui	aujourdhui	1 
xxxîij	xxxîij	1 
fyftême	systême	1 
canoniques	canonique	1 
exifte	existe	1 
fophie	sophie	1 
connoître	connaître	1 
eftimables	estimables	1 
fyftême	systême	1 
colleâdon	colleâdon	1 
s’occupent	occupent	1 
quelques-uns	quelques-uns	1 
s’étoient	s’étoient	1 
feroient	feraient	1 
philofotome	philofotome	1 
penfois	pensais	1 
connoît	connaît	1 
amftcrdam	amsterdam	1 
imprilné	imprimé	1 
fyfrême	fyfrême	1 
ainfî	ainsi	1 
halde	halte	1 
peufé	peux	1 
noëlétoitcertainementphilofopke	noëlétoitcertainementphilofopke	1 
perfonnes	personnes	1 
seroit	serait	1 
françoife	françoise	1 
xxxv	xxx	1 
-chiuoife	-chiuoife	1 
aujourd’hui	aujourdhui	1 
c’eft-àdire	c’eft-àdire	1 
raifon	raison	2 
ainfî	ainsi	1 
rétablifsement	rétablissement	2 
conduifent	conduisent	1 
philofophe	philosophe	1 
auflî-bien	auflî-bien	1 
xxxvij	xxxvij	1 
fes	les	1 
femblables	semblables	1 
jufte	juste	1 
feiences	sciences	1 
paraphrasé	paraphrase	1 
philofophe	philosophe	1 
penfent	pensent	1 
favants	savants	1 
xxxix	xxx	1 
pp	pu	1 
ainfi	ainsi	2 
rhéteur	routeur	1 
penferont	penseront	1 
traduqion	traduction	1 
jufie	julie	1 
fcience	science	1 
soi-même	soi-même	1 
renou	rendu	1 
»	a	1 
veller	veiller	1 
cefse	cesse	1 
s’arrêter	arrêter	1 
raifonnable	raisonnable	1 
degré-	degrés	1 
aij	ai	1 
obfcurcir	obscurcir	1 
faifant	faisant	1 
s’y	say	1 
pallions	allions	1 
fîneeres	fenetres	1 
furface	surface	1 
ainfi	ainsi	1 
s’en	sien	1 
raifonnable	raisonnable	1 
rétablifsant	établissant	1 
lorfque	lorsque	1 
rai-	raid	1 
afsez	assez	1 
lagrande	grande	1 
difllpant	difllpant	1 
s’approcher	rapprocher	1 
vicieufes	vicieuses	1 
exhortations	exportations	1 
parfes	parles	1 
inftructions	instructions	1 
rétablifsement	rétablissement	1 
s’efforce	efforce	1 
obftacles	obstacles	1 
ainfl	ainsi	1 
fonnable	fonnable	1 
déracinant	dégainant	1 
fali	sali	1 
iij	ii	1 
raifonnable	raisonnable	1 
à-peuprès	à-peuprès	1 
fes	les	1 
ainfî	ainsi	1 
s’arrête	arrête	1 
cefser	cesser	1 
cefse	cesse	1 
maifon	maison	1 
raifonnable	raisonnable	1 
entreprife	entreprise	1 
lorsqu’il	lorfqu’il	1 
lui-même	lui-même	1 
foutenu	foutent	1 
connoît	connaît	1 
deftination	destination	1 
cft	cet	1 
s’arrêter	arrêter	1 
connoifsance	connaissance	1 
s’affranchir	affranchir	1 
lorfque	lorsque	1 
fens	gens	1 
conféquent	conséquent	1 
diftinguer	distinguer	1 
s’arrêter	arrêter	1 
fes	les	1 
prefque	presque	1 
chofes	choses	1 
auroit	aurait	1 
voudroit	voudrait	1 
méprife	méprise	1 
desfruits	desfruits	1 
s’ils	suis	1 
s’expofer	s’expofer	1 
confifte	confite	1 
enfuite	ensuite	1 
s’y	say	1 
leurame	leurre	1 
connoifsance	connaissance	1 
entreprife	entreprise	1 
connoît	connaît	1 
s’en	sien	1 
compofent	composent	1 
fages	pages	1 
obfcurcie	obscurcie	1 
fuivirent	suivirent	1 
raifonnable	raisonnable	1 
réuffir	réussir	1 
falloit	fallait	1 
ilfalloit	ilfalloit	1 
régnerla	régnera	1 
falloit	fallait	3 
affermifsant	affermifsant	1 
raifonnement	raisonnement	1 
pouvoient	pouvaient	1 
maifon	maison	2 
pxquît	paquet	1 
connoifsance	connaissance	1 
c’eft-à-dire	c’eft-à-dire	1 
étoit	était	1 
chofes	choses	1 
philofophie	philosophie	1 
feul	seul	1 
bafe	base	1 
étoit	était	1 
fublime	sublime	1 
portoit	portait	1 
philofophie	philosophie	1 
ainfi	ainsi	1 
connoît	connaît	1 
dif-	diff	1 
connoifsance	connaissance	2 
philofophie	philosophie	1 
mal(i).	mal(i).	1 
déshonnête	déshonnête	1 
ccrnement	garnement	1 
déshonnêtc	déshonnêtc	1 
connoifsance	connaissance	3 
nécefsairement	nécessairement	1 
naifsent	naissent	1 
connoît	connaît	2 
bien:	bien	1 
nécefsaîrement	nécessairement	1 
philofophie	philosophie	1 
(i)	il	1 
favoir	avoir	1 
maifon	maison	1 
fes	les	1 
affermie	affermir	1 
connoifsance	connaissance	1 
maifon	maison	1 
caufer	causer	1 
efpece	espece	1 
établifsant	établissant	1 
indifsoluble	indifsoluble	1 
philofophie	philosophie	1 
vifiblement	visiblement	1 
fublime	sublime	1 
grandescience	grandescience	1 
connoiffances	connoiffances	1 
naifsent	naissent	1 
connoifsances	connaissances	1 
produifent	produisent	1 
difeipline	discipline	2 
maifon	maison	2 
bij	big	1 
depuisl’empereurjufqu’au	depuisl’empereurjufqu’au	1 
fujets	sujets	1 
s’appliquer	appliquer	1 
ainfi	ainsi	1 
fes	les	3 
sides	sites	1 
defséché	desséché	1 
maifon	maison	1 
uneprovinceou	uneprovinceou	1 
fortir	sortir	1 
mauvaifes	mauvaises	1 
entreprife	entreprise	1 
fuivre	suivre	1 
fes	les	1 
efprit	esprit	1 
embrafse	embrasse	1 
àlafois	àlafois	1 
indiftinétement	indistinctement	1 
1a	la	1 
maifon	maison	1 
nfanguins	sanguins	1 
compofent	composent	1 
voifins	voisins	1 
nécefsaires	nécessaires	1 
pourroit-il	pourroit-il	1 
chère,	chère	1 
blir	blair	1 
fà	à	1 
voifms	vois	1 
maifon	maison	2 
éta-.	était	1 
fes	les	2 
oila	voila	1 
fcience	science	1 
fcience	science	1 
lerenouvellement	renouvellement	1 
°.	de	1 
tfun-tfée	tfun-tfée	1 
3°.les	3°.les	1 
des’éleveràlaperfection	des’éleveràlaperfection	1 
i°.	il	1 
moi-même	moi-même	1 
connoître	connaître	2 
6°.	6°.	1 
lanéceflîté	lanéceflîté	1 
chofes	choses	1 
îo	to	1 
difciple	disciple	1 
fages	pages	1 
efpece	espece	1 
de’confucius	de’confucius	1 
foit	fait	1 
fpéculations	spéculations	1 
éclaircifsements	éclaircissements	1 
feience	science	1 
defquels	desquels	1 
impoffible	impossible	1 
scien6l	science	1 
soi-même	soi-même	1 
confifte	confite	1 
plufieurs	plusieurs	1 
canoniques	canonique	1 
raifonnable	raisonnable	1 
sun-tsée	sun-tsée	1 
illuftre	illustre	1 
regardoit	regardait	1 
«	a	1 
lesfïlsdeven-ven	lesfïlsdeven-ven	1 
préferver	préserver	1 
pouvoit	pouvoir	1 
raifonnable	raisonnable	1 
dynaftie	dynastie	1 
fournirent	fourniront	1 
enfuite	ensuite	1 
délirèrent	délibèrent	1 
(i).	(i).	1 
refpeér	reperé	1 
difent	disent	1 
fes	les	1 
rétablifsement	rétablissement	1 
taiticn	tatin	1 
miniftre	ministre	1 
fes	les	1 
négligea	négliger	1 
cîu	cru	1 
fuccinfts	fuccinfts	1 
;,	de	1 
amelot	camelot	1 
pareequ’ils	pareequ’ils	1 
chou-king	chou-king	3 
(i)	il	1 
2j	j	1 
rcpréfentations	représentations	1 
raifon	raison	1 
fépulture	sépulture	1 
tchin-tac	tchin-tac	1 
(i).	(i).	1 
miniftre	ministre	1 
infenfible	insensible	1 
inflructions	instructions	1 
s’expofoit	s’expofoit	1 
mauvaifes	mauvaises	1 
cliun	clin	1 
efprit	esprit	1 
fuccefseurd’y-a-o	fuccefseurd’y-a-o	1 
(i)	il	1 
ibid	ici	1 
?€	de	1 
lorfque	lorsque	1 
siang	sang	1 
obferva	observa	1 
étoit	était	1 
y-a-o	yao	1 
infenfiblement	infenfiblement	1 
raifonnable	raisonnable	1 
fes	les	1 
lui-même	lui-même	1 
y-a-o	yao	1 
1)	de	1 
difcrétion	discrétion	1 
raifonnable	raisonnable	1 
fupérieur	supérieur	1 
par-tout	partout	1 
mauvaife	mauvaise	1 
(i).	(i).	1 
fpeétacle	spectacle	1 
avoient	avaient	1 
fes	les	1 
corrigèrent	corrigent	1 
jufques-là	jufques-là	1 
heu(	heu	1 
i)	il	1 
reufe	reufs	1 
soimême	somme	1 
baffin	biffin	1 
tchin-tang	tchin-tang	1 
devoit	devoir	1 
portoit	portait	1 
vifage	visage	1 
afsez	assez	1 
s’élevant	élevant	1 
infcriptiongravée	infcriptiongravée	1 
lavoit	lavait	1 
foutiennent	soutiennent	1 
loix	loin	1 
defir	desir	2 
l’inltruc"tion	l’inltruc"tion	1 
fè	f	1 
religieufes	religieuses	1 
inftruftions	instructions	1 
fotiverains	fotiverains	1 
chou-king	chou-king	1 
miniftres	ministres	1 
soi-même	soi-même	1 
renouvellement-de	renouvellement-de	1 
lui-même	lui-même	1 
